577,502,577
128,73,128
452,466,452
118,369,118
337,115,337
169,588,169
355,33,355
350,621,350
219,644,219
120,590,120
412,185,412
511,32,511
615,472,615
257,167,257
369,296,369
111,270,111
136,624,136
207,306,207
487,250,487
383,74,383
35,494,35
398,457,398
434,364,434
120,129,120
253,23,253
299,113,299
406,371,406
363,33,363
39,280,39
625,110,625
4,216,4
318,60,318
187,37,187
507,120,507
439,644,439
259,229,259
74,319,74
236,79,236
30,95,30
81,267,81
388,332,388
400,348,400
393,166,393
110,89,110
4,485,4
117,266,117
631,542,631
582,359,582
14,650,14
133,543,133
14,501,14
417,6,417
501,41,501
358,207,358
423,626,423
386,303,386
117,574,117
247,486,247
110,613,110
491,90,491
535,124,535
503,620,503
424,16,424
433,244,433
283,321,283
376,331,376
218,189,218
438,282,438
178,523,178
77,635,77
98,549,98
457,329,457
522,186,522
39,45,39
468,553,468
348,587,348
301,514,301
649,357,649
258,213,258
629,602,629
545,73,545
395,204,395
3,599,3
405,76,405
585,87,585
593,2,593
301,632,301
167,93,167
493,362,493
145,489,145
442,636,442
425,609,425
458,610,458
211,363,211
640,470,640
431,611,431
578,505,578
379,74,379
408,405,408
597,404,597
610,99,610
607,10,607
393,168,393
559,409,559
2,497,2
604,216,604
58,652,58
433,585,433
325,518,325
180,606,180
494,530,494
416,609,416
268,249,268
206,600,206
564,160,564
230,12,230
385,191,385
462,240,462
211,370,211
371,18,371
311,73,311
151,632,151
601,1,601
386,424,386
512,293,512
456,622,456
298,68,298
348,71,348
490,183,490
134,64,134
352,172,352
412,168,412
377,172,377
576,37,576
60,390,60
184,534,184
568,280,568
388,13,388
360,1,360
576,354,576
133,143,133
636,311,636
83,145,83
193,245,193
306,489,306
340,430,340
525,249,525
166,641,166
226,56,226
247,543,247
102,287,102
340,215,340
108,67,108
340,313,340
421,229,421
449,58,449
510,7,510
631,428,631
330,136,330
187,607,187
181,109,181
343,468,343
239,156,239
128,203,128
641,544,641
77,152,77
228,152,228
643,627,643
162,590,162
431,68,431
340,44,340
53,522,53
98,397,98
371,146,371
312,412,312
647,172,647
182,355,182
443,643,443
358,508,358
178,330,178
470,543,470
355,69,355
264,621,264
211,561,211
574,183,574
369,12,369
403,183,403
94,158,94
110,257,110
259,27,259
575,375,575
402,239,402
527,394,527
125,159,125
528,530,528
183,246,183
464,197,464
151,29,151
116,438,116
221,301,221
438,345,438
146,192,146
53,145,53
648,211,648
293,88,293
429,629,429
258,332,258
133,219,133
350,597,350
198,282,198
137,96,137
47,100,47
137,359,137
596,187,596
581,631,581
4,35,4
640,372,640
242,556,242
434,256,434
406,50,406
98,557,98
207,276,207
199,544,199
151,295,151
105,489,105
405,105,405
524,381,524
74,382,74
459,190,459
521,30,521
107,500,107
341,188,341
113,151,113
583,221,583
229,375,229
511,95,511
567,479,567
439,588,439
78,607,78
193,412,193
400,390,400
294,540,294
416,111,416
441,84,441
441,42,441
386,479,386
633,478,633
213,220,213
258,203,258
244,424,244
619,33,619
247,382,247
516,302,516
11,308,11
426,172,426
110,571,110
418,100,418
108,243,108
629,72,629
447,404,447
239,486,239
459,397,459
441,108,441
424,190,424
607,148,607
422,149,422
635,607,635
458,650,458
259,246,259
67,58,67
125,507,125
233,256,233
648,310,648
251,480,251
638,274,638
321,274,321
574,82,574
383,250,383
521,498,521
471,368,471
493,516,493
140,628,140
132,120,132
38,337,38
473,377,473
548,328,548
72,314,72
575,372,575
28,193,28
414,483,414
507,61,507
633,328,633
398,315,398
568,107,568
86,42,86
611,543,611
288,338,288
358,485,358
94,249,94
350,485,350
12,483,12
288,500,288
135,298,135
133,233,133
484,370,484
414,518,414
435,494,435
247,42,247
429,536,429
539,319,539
589,208,589
132,425,132
344,601,344
184,165,184
634,8,634
456,185,456
138,382,138
138,113,138
400,270,400
353,312,353
242,12,242
402,168,402
182,317,182
138,552,138
307,313,307
117,130,117
436,629,436
53,423,53
147,452,147
132,15,132
251,342,251
399,320,399
19,568,19
534,334,534
388,555,388
229,360,229
162,12,162
308,365,308
289,274,289
351,69,351
570,454,570
168,197,168
389,369,389
307,289,307
198,336,198
469,254,469
371,450,371
289,145,289
425,67,425
250,246,250
441,481,441
579,351,579
178,97,178
627,329,627
586,251,586
646,186,646
516,261,516
553,297,553
305,256,305
568,180,568
204,29,204
552,341,552
439,552,439
154,41,154
535,193,535
59,166,59
87,160,87
436,509,436
649,305,649
216,253,216
56,499,56
209,310,209
652,148,652
18,185,18
282,189,282
584,146,584
386,73,386
627,631,627
513,573,513
406,487,406
288,367,288
579,83,579
477,120,477
245,158,245
431,40,431
108,296,108
527,370,527
147,248,147
529,264,529
613,428,613
640,582,640
559,291,559
106,88,106
424,272,424
240,193,240
17,440,17
581,192,581
563,337,563
438,151,438
525,456,525
523,346,523
114,464,114
441,134,441
352,300,352
626,334,626
90,530,90
38,382,38
32,8,32
396,341,396
535,627,535
582,627,582
357,487,357
289,129,289
131,647,131
454,26,454
289,279,289
527,257,527
141,235,141
9,27,9
9,296,9
513,72,513
497,81,497
515,95,515
320,541,320
187,61,187
113,146,113
112,625,112
113,164,113
631,39,631
71,228,71
462,185,462
610,103,610
167,197,167
171,405,171
282,46,282
590,607,590
373,453,373
347,634,347
623,458,623
609,67,609
576,380,576
343,466,343
542,84,542
484,349,484
380,312,380
481,553,481
350,605,350
471,84,471
184,472,184
253,275,253
589,546,589
587,552,587
284,397,284
447,649,447
418,642,418
352,327,352
420,309,420
595,36,595
14,2,14
533,319,533
70,64,70
500,610,500
133,454,133
427,202,427
213,188,213
643,404,643
91,465,91
